iter	RMSE
0	5.119403226
1	5.109899792
2	5.094343266
3	5.08130836
4	5.073444844
5	5.07037239
6	5.061826019
7	5.050678219
8	5.040238203
9	5.032003507
10	5.020586009
11	5.009987638
12	5.003610447
13	4.992830873
14	4.981103691
15	4.96863078
16	4.9557871
17	4.943210023
18	4.929932594
19	4.92238623
20	4.913937112
21	4.901818945
22	4.890706681
23	4.878879781
24	4.869981058
25	4.863709514
26	4.852382991
27	4.841605475
28	4.836313664
29	4.830698989
30	4.822370258
31	4.815439284
32	4.805390611
33	4.797991248
34	4.7915145
35	4.784464658
36	4.774847667
37	4.767299589
38	4.75786534
39	4.752480939
40	4.741515464
41	4.737600904
42	4.732244308
43	4.723149768
44	4.713586472
45	4.710864408
46	4.706341371
47	4.700176903
48	4.693788933
49	4.686343185
50	4.680771135
51	4.679368739
52	4.670695912
53	4.663796701
54	4.655519691
55	4.646983131
56	4.640908896
57	4.629693122
58	4.622451475
59	4.612102896
60	4.605738556
61	4.599440885
62	4.589867409
63	4.582135418
64	4.574357057
65	4.570497136
66	4.563267539
67	4.557571421
68	4.550130146
69	4.536463997
70	4.52878284
71	4.520196272
72	4.513081724
73	4.507713217
74	4.505884195
75	4.499945709
76	4.49649976
77	4.491000471
78	4.483728086
79	4.47034173
80	4.463685272
81	4.45173553
82	4.440877526
83	4.432542093
84	4.425982764
85	4.420765096
86	4.411592987
87	4.406627663
88	4.399290693
89	4.38768652
90	4.369429167
91	4.363935449
92	4.348201787
93	4.342506511
94	4.339556734
95	4.323699908
96	4.314850912
97	4.303961723
98	4.298819373
99	4.286357019
