iter	Passed	Remaining
0	164	16247
1	165	8113
2	166	5393
3	168	4033
4	169	3216
5	170	2672
6	171	2283
7	173	1992
8	174	1765
9	175	1582
10	177	1433
11	178	1309
12	179	1203
13	181	1112
14	182	1033
15	183	964
16	185	903
17	186	849
18	187	800
19	188	755
20	190	715
21	191	679
22	192	645
23	194	614
24	195	586
25	196	560
26	198	536
27	199	513
28	200	492
29	202	472
30	203	453
31	205	435
32	206	418
33	207	402
34	208	387
35	210	373
36	211	360
37	212	347
38	214	334
39	215	323
40	216	311
41	218	301
42	219	290
43	220	280
44	222	271
45	223	262
46	224	253
47	225	244
48	227	236
49	228	228
50	229	220
51	230	212
52	231	205
53	233	198
54	234	191
55	235	185
56	237	178
57	238	172
58	239	166
59	241	160
60	242	154
61	243	149
62	244	143
63	246	138
64	247	133
65	248	128
66	250	123
67	251	118
68	252	113
69	254	108
70	255	104
71	256	99
72	257	95
73	259	91
74	260	86
75	261	82
76	263	78
77	264	74
78	265	70
79	267	66
80	268	62
81	269	59
82	270	55
83	272	51
84	273	48
85	275	44
86	276	41
87	277	37
88	278	34
89	280	31
90	281	27
91	282	24
92	284	21
93	285	18
94	286	15
95	288	12
96	289	8
97	290	5
98	292	2
99	293	0
