0,1,2,3,4,5,6,7,8,9,10,11,12,13,next_over_score
1.0,1.0,6.0,6.0,12.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,12.0,11.0
1.0,2.0,5.0,6.0,11.5,11.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,11.0,18.0
1.0,3.0,10.0,8.0,13.67,0.0,18.0,0.0,0.0,0.0,0.0,0.0,23.0,18.0,8.0
1.0,4.0,4.0,4.0,12.25,8.0,0.0,0.0,0.0,0.0,1.0,1.0,41.0,8.0,16.0
1.0,5.0,6.0,10.0,13.0,0.0,0.0,16.0,0.0,0.0,0.0,1.0,49.0,16.0,6.0
1.0,6.0,2.0,4.0,11.83,0.0,0.0,0.0,6.0,0.0,0.0,1.0,65.0,6.0,11.0
1.0,7.0,0.0,11.0,11.71,0.0,11.0,0.0,0.0,0.0,1.0,2.0,71.0,11.0,11.0
1.0,8.0,11.0,0.0,11.62,0.0,0.0,0.0,0.0,11.0,0.0,2.0,82.0,11.0,24.0
1.0,9.0,12.0,12.0,13.0,0.0,0.0,24.0,0.0,0.0,0.0,2.0,93.0,24.0,1.0
1.0,10.0,1.0,0.0,11.8,0.0,0.0,0.0,1.0,0.0,0.0,2.0,117.0,1.0,15.0
1.0,11.0,9.0,6.0,12.09,15.0,0.0,0.0,0.0,0.0,0.0,2.0,118.0,15.0,10.0
1.0,12.0,9.0,1.0,11.92,0.0,0.0,0.0,10.0,0.0,0.0,2.0,133.0,10.0,14.0
1.0,13.0,5.0,9.0,12.08,0.0,0.0,14.0,0.0,0.0,1.0,3.0,143.0,14.0,7.0
1.0,14.0,5.0,2.0,11.71,0.0,0.0,0.0,0.0,7.0,0.0,3.0,157.0,7.0,11.0
1.0,15.0,6.0,5.0,11.67,0.0,0.0,0.0,11.0,0.0,0.0,3.0,164.0,11.0,5.0
1.0,16.0,4.0,1.0,11.25,0.0,0.0,0.0,0.0,5.0,0.0,3.0,175.0,5.0,7.0
1.0,17.0,1.0,6.0,11.0,0.0,7.0,0.0,0.0,0.0,0.0,3.0,180.0,7.0,10.0
1.0,18.0,10.0,0.0,10.94,10.0,0.0,0.0,0.0,0.0,0.0,3.0,187.0,10.0,11.0
1.0,19.0,4.0,7.0,10.95,0.0,11.0,0.0,0.0,0.0,1.0,4.0,197.0,11.0,15.0
1.0,20.0,10.0,5.0,11.15,0.0,0.0,15.0,0.0,0.0,1.0,5.0,208.0,15.0,11.766766766766766
2.0,1.0,11.0,4.0,15.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,15.0,10.0
2.0,2.0,8.0,2.0,12.5,0.0,0.0,0.0,10.0,0.0,0.0,0.0,15.0,10.0,17.0
2.0,3.0,6.0,11.0,14.0,0.0,0.0,0.0,0.0,17.0,1.0,1.0,25.0,17.0,14.0
2.0,4.0,9.0,5.0,14.0,0.0,0.0,14.0,0.0,0.0,0.0,1.0,42.0,14.0,10.0
2.0,5.0,9.0,1.0,13.2,0.0,0.0,0.0,0.0,10.0,0.0,1.0,56.0,10.0,2.0
2.0,6.0,2.0,0.0,11.33,0.0,0.0,2.0,0.0,0.0,0.0,1.0,66.0,2.0,9.0
2.0,7.0,4.0,5.0,11.0,0.0,0.0,0.0,9.0,0.0,0.0,1.0,68.0,9.0,19.0
2.0,8.0,11.0,8.0,12.0,0.0,19.0,0.0,0.0,0.0,0.0,1.0,77.0,19.0,10.0
2.0,9.0,2.0,8.0,11.78,0.0,0.0,0.0,10.0,0.0,0.0,1.0,96.0,10.0,1.0
2.0,10.0,0.0,1.0,10.7,0.0,1.0,0.0,0.0,0.0,0.0,1.0,106.0,1.0,19.0
2.0,11.0,11.0,8.0,11.45,19.0,0.0,0.0,0.0,0.0,0.0,1.0,107.0,19.0,8.0
2.0,12.0,4.0,4.0,11.17,0.0,0.0,8.0,0.0,0.0,0.0,1.0,126.0,8.0,9.0
2.0,13.0,2.0,7.0,11.0,0.0,0.0,0.0,9.0,0.0,0.0,1.0,134.0,9.0,17.0
2.0,14.0,6.0,11.0,11.43,17.0,0.0,0.0,0.0,0.0,0.0,1.0,143.0,17.0,13.0
2.0,15.0,8.0,5.0,11.53,0.0,13.0,0.0,0.0,0.0,0.0,1.0,160.0,13.0,7.0
2.0,16.0,7.0,0.0,11.25,7.0,0.0,0.0,0.0,0.0,0.0,1.0,173.0,7.0,18.0
